Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,Nolan Seed,Lindenwood,D,Jr,28,3,19,22,0.79,16,59,0,2,0,6,31,0,0,
,Morgan Winters,New Hampshire,F,Sr,28,11,11,22,0.79,25,78,0,3,0,-7,20,9,24,27.3
,Ivan Zadvernyuk,Brown,F,So,28,8,14,22,0.79,60,87,0,2,0,-6,7,205,187,52.3
,Jacob Fletcher,Lindenwood,F,Fr,26,12,10,22,0.85,8,49,3,1,2,10,21,191,229,45.5
,Ronan O'Donnell,Yale,F,So,26,11,11,22,0.85,8,76,1,4,0,-8,12,0,2,0
,Charlie Major,Cornell,F,So,25,10,12,22,0.88,2,73,4,3,0,3,11,64,92,41
189,Andon Cerbone,Quinnipiac,F,Jr,34,9,12,21,0.62,4,98,2,0,0,17,12,112,95,54.1
,Samu Salminen,Denver,F,Sr,33,5,16,21,0.64,21,54,1,1,0,14,7,296,260,53.2
,Bobby Cowan,Western Michigan,F,Fr,32,5,16,21,0.66,23,64,0,0,0,0,4,7,6,53.8
,Christian Catalano,RIT,F,Jr,32,10,11,21,0.66,50,84,2,3,0,1,13,8,10,44.4
,Samuel Sjolund,Western Michigan,D,Sr,32,6,15,21,0.66,16,50,0,0,0,9,26,0,0,
,Chase Cheslock,St. Thomas,D,Jr,32,0,21,21,0.66,22,54,0,0,0,5,31,0,0,
,Michael Abgrall,Holy Cross,F,Gr,31,11,10,21,0.68,54,63,1,4,1,4,9,212,194,52.2
,Will Elger,Providence,F,So,31,8,13,21,0.68,0,75,0,1,1,4,18,4,4,50
,Giacomo Martino,Northeastern,F,Fr,31,10,11,21,0.68,6,45,2,6,0,-4,21,5,3,62.5
,Joe Connor,Northeastern,F,So,31,11,10,21,0.68,20,82,3,1,0,-8,18,5,8,38.5
,Dylan Kinch,Long Island,F,Fr,30,8,13,21,0.7,6,73,1,2,0,-4,9,11,16,40.7
,Will Vote,Boston College,F,Jr,30,10,11,21,0.7,0,40,3,2,0,10,17,2,3,40
