Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Jack McBain,Boston College,F,Sr,24.0,19.0,14.0,33.0,1.375,14.0,81.0,4.0,6.0,1.0,13.0,11.0,220.0,242.0,47.6,2021-22,F,99.84260230849948,98.21615949632738,85.25708289611752,84.83735571878279,97.2193074501574,91.97271773347325,94.12381951731375,49.422875131164744,51.861360718870344,True
Ethan de Jong,Quinnipiac,F,Sr,42.0,11.0,21.0,32.0,0.7619,24.0,100.0,0.0,1.0,0.0,23.0,25.0,1.0,2.0,33.3,2021-22,F,88.5099685204617,86.98845750262329,95.64533053515215,93.54669464847849,60.8604407135362,43.12696747114376,98.89821615949633,91.97271773347325,20.410783055198973,False
Michael Joyaux,Western Michigan,D,Sr,39.0,8.0,24.0,32.0,0.8205,25.0,89.0,0.0,4.0,0.0,-3.0,52.0,0.0,0.0,,2021-22,D,97.70114942528735,97.22222222222221,97.70114942528735,96.93486590038314,97.79693486590038,48.75478927203065,33.33333333333333,89.32692307692308,,True
Colton Young,Colgate,F,Jr,38.0,15.0,17.0,32.0,0.8421,24.0,112.0,4.0,1.0,1.0,4.0,22.0,4.0,7.0,36.4,2021-22,F,92.23504721930745,95.17313746065058,91.39559286463799,96.8520461699895,60.8604407135362,91.97271773347325,75.97061909758656,87.93284365162644,24.326059050064185,True
Ryan Tverberg,Connecticut,F,So,36.0,14.0,18.0,32.0,0.8889,16.0,67.0,2.0,2.0,0.0,10.0,10.0,2.0,6.0,25.0,2021-22,F,93.38929695697796,93.75655823714585,92.9171038824764,75.02623294858341,73.29485834207765,43.12696747114376,90.45120671563484,44.700944386149004,14.441591784338895,True
Henry Thrun,Harvard,D,Jr,35.0,7.0,25.0,32.0,0.9143,10.0,83.0,1.0,3.0,0.0,9.0,50.0,0.0,0.0,,2021-22,D,98.65900383141762,95.6896551724138,98.5632183908046,95.6896551724138,95.78544061302682,48.75478927203065,85.91954022988506,86.73076923076923,,True
Brannon McManus,Omaha,F,Sr,34.0,9.0,23.0,32.0,0.9412,4.0,55.0,4.0,3.0,0.0,-1.0,13.0,0.0,0.0,,2021-22,F,95.27806925498426,78.85624344176286,96.90451206715635,63.0115424973767,82.05666316894019,43.12696747114376,47.95383001049318,57.869884575026234,,True
Owen Power,Michigan,D,So,33.0,3.0,29.0,32.0,0.9697,12.0,54.0,0.0,0.0,0.0,27.0,50.0,0.0,1.0,0.0,2021-22,D,99.61685823754789,74.61685823754789,100.0,77.4904214559387,35.24904214559387,48.75478927203065,98.5632183908046,86.73076923076923,25.728155339805824,True
Jake Livingstone,Minnesota State,D,So,44.0,9.0,22.0,31.0,0.7045,32.0,79.0,3.0,5.0,1.0,27.0,46.0,0.0,0.0,,2021-22,D,94.6360153256705,98.08429118773945,96.36015325670499,93.86973180076629,98.9463601532567,98.65900383141762,98.5632183908046,82.40384615384615,,True
Alex Young,Colgate,F,So,39.0,10.0,21.0,31.0,0.7949,51.0,108.0,0.0,5.0,0.0,-1.0,17.0,31.0,24.0,56.4,2021-22,F,90.24134312696746,82.9485834207765,95.64533053515215,95.80272822665268,94.38614900314796,43.12696747114376,47.95383001049318,73.9769150052466,84.85237483953787,True
Brandon Scanlin,Omaha,D,Jr,38.0,6.0,25.0,31.0,0.8158,31.0,67.0,1.0,5.0,0.0,-13.0,47.0,0.0,0.0,,2021-22,D,97.5095785440613,93.00766283524904,98.5632183908046,88.2183908045977,98.9463601532567,48.75478927203065,7.088122605363985,83.65384615384616,,True
Neil Shea,Sacred Heart,F,So,37.0,11.0,20.0,31.0,0.8378,10.0,97.0,0.0,1.0,0.0,15.0,10.0,2.0,6.0,25.0,2021-22,F,92.13011542497377,86.98845750262329,94.91080797481636,92.49737670514165,60.8604407135362,43.12696747114376,95.48793284365162,44.700944386149004,14.441591784338895,True
Ryan Ufko,Massachusetts,D,Fr,37.0,5.0,26.0,31.0,0.8378,12.0,55.0,0.0,3.0,1.0,4.0,23.0,0.0,0.0,,2021-22,D,97.89272030651341,89.17624521072797,99.23371647509579,78.83141762452107,95.78544061302682,98.65900383141762,72.70114942528735,38.65384615384615,,True
Justin Young,American Int'l,F,Gr,36.0,12.0,19.0,31.0,0.8611,16.0,61.0,1.0,3.0,0.0,18.0,20.0,0.0,3.0,0.0,2021-22,F,92.65477439664218,90.0314795383001,93.96642182581321,68.78279118572928,82.05666316894019,43.12696747114376,96.79958027282267,84.26023084994753,5.134788189987163,True
Zach Tsekos,Clarkson,F,Gr,35.0,15.0,16.0,31.0,0.8857,21.0,87.0,2.0,3.0,1.0,8.0,44.0,312.0,266.0,54.0,2021-22,F,93.12696747114376,95.17313746065058,89.34942287513117,87.72298006295908,82.05666316894019,91.97271773347325,86.6211962224554,99.79013641133263,78.30551989730424,True
Alex Laferriere,Harvard,F,So,35.0,14.0,17.0,31.0,0.8857,12.0,136.0,3.0,4.0,0.0,13.0,12.0,0.0,1.0,0.0,2021-22,F,93.12696747114376,93.75655823714585,91.39559286463799,98.95068205666317,89.24449108079749,43.12696747114376,94.12381951731375,53.46274921301154,5.134788189987163,True
Domenick Fensore,Boston University,D,Jr,35.0,5.0,26.0,31.0,0.8857,8.0,97.0,0.0,3.0,0.0,7.0,40.0,0.0,0.0,,2021-22,D,98.27586206896551,89.17624521072797,99.23371647509579,97.98850574712644,95.78544061302682,48.75478927203065,80.93869731800766,73.17307692307692,,True
Billy Jerry,Long Island,F,Sr,34.0,14.0,17.0,31.0,0.9118,10.0,84.0,3.0,4.0,1.0,2.0,28.0,378.0,351.0,51.9,2021-22,F,93.96642182581321,93.75655823714585,91.39559286463799,86.51626442812173,89.24449108079749,91.97271773347325,67.89087093389297,94.9632738719832,72.33632862644416,True
Colin Bilek,Army,F,Sr,34.0,11.0,20.0,31.0,0.9118,37.0,145.0,2.0,4.0,1.0,-10.0,25.0,0.0,0.0,,2021-22,F,93.96642182581321,86.98845750262329,94.91080797481636,99.3704092339979,89.24449108079749,91.97271773347325,9.968520461699896,91.97271773347325,,True
Marc McLaughlin,Boston College,F,Sr,33.0,21.0,10.0,31.0,0.9394,22.0,92.0,2.0,8.0,1.0,10.0,12.0,343.0,295.0,53.8,2021-22,F,95.17313746065058,99.21301154249737,71.30115424973768,89.97901364113326,99.05561385099685,91.97271773347325,90.45120671563484,53.46274921301154,77.599486521181,True
Nick Perbix,St. Cloud State,D,Sr,31.0,6.0,25.0,31.0,1.0,14.0,66.0,0.0,1.0,0.0,3.0,38.0,0.0,0.0,,2021-22,D,99.80842911877394,93.00766283524904,98.5632183908046,87.4521072796935,78.35249042145594,48.75478927203065,68.29501915708812,69.61538461538461,,True
Ottoville Leppanen,RPI,F,Sr,42.0,9.0,21.0,30.0,0.7143,31.0,65.0,1.0,1.0,1.0,1.0,24.0,52.0,40.0,56.5,2021-22,F,85.78174186778594,78.85624344176286,95.64533053515215,72.92759706190975,60.8604407135362,91.97271773347325,62.48688352570829,90.71353620146905,85.10911424903723,False
Jackson LaCombe,Minnesota,D,Jr,39.0,3.0,27.0,30.0,0.7692,12.0,84.0,1.0,1.0,0.0,23.0,64.0,0.0,0.0,,2021-22,D,96.16858237547893,74.61685823754789,99.71264367816092,96.16858237547893,78.35249042145594,48.75478927203065,97.89272030651341,95.96153846153847,,True
